work_type,title,byline,release_date,month,day,extra,source_url
birth,John Hensley,American actor (born 1977),1977-08-29,08,29,,https://en.wikipedia.org/wiki/John_Hensley
birth,Charlie Pickering,Australian comedian and presenter,1977-08-29,08,29,,https://en.wikipedia.org/wiki/Charlie_Pickering
birth,Dante Basco,American actor (born 1975),1975-08-29,08,29,,https://en.wikipedia.org/wiki/Dante_Basco
birth,Kyle Cook,American musician (born 1975),1975-08-29,08,29,,https://en.wikipedia.org/wiki/Kyle_Cook
birth,Kumi Tanioka,Japanese composer and pianist (born 1974),1974-08-29,08,29,,https://en.wikipedia.org/wiki/Kumi_Tanioka
birth,Vincent Cavanagh,English musician (born 1973),1973-08-29,08,29,,https://en.wikipedia.org/wiki/Vincent_Cavanagh
birth,Amanda Marshall,Canadian singer (born 1972),1972-08-29,08,29,,https://en.wikipedia.org/wiki/Amanda_Marshall
birth,Carla Gugino,American actress (born 1971),1971-08-29,08,29,,https://en.wikipedia.org/wiki/Carla_Gugino
birth,Jennifer Crittenden,American screenwriter and producer,1969-08-29,08,29,,https://en.wikipedia.org/wiki/Jennifer_Crittenden
birth,Lucero (entertainer),"Mexican singer, actress (born 1969)",1969-08-29,08,29,,https://en.wikipedia.org/wiki/Lucero_(entertainer)
birth,Meshell Ndegeocello,American musician (born 1968),1968-08-29,08,29,,https://en.wikipedia.org/wiki/Meshell_Ndegeocello
birth,Anton Newcombe,American musician,1967-08-29,08,29,,https://en.wikipedia.org/wiki/Anton_Newcombe
birth,Pebbles (musician),American singer-songwriter,1964-08-29,08,29,,https://en.wikipedia.org/wiki/Pebbles_(musician)
birth,Elizabeth Fraser,Scottish singer (born 1963),1963-08-29,08,29,,https://en.wikipedia.org/wiki/Elizabeth_Fraser
birth,Hiroki Kikuta,Japanese composer and game designer (born 1962),1962-08-29,08,29,,https://en.wikipedia.org/wiki/Hiroki_Kikuta
birth,Ian James Corlett,Canadian voice actor and author (born 1962),1962-08-29,08,29,,https://en.wikipedia.org/wiki/Ian_James_Corlett
birth,Tony MacAlpine,American musician and composer (born 1960),1960-08-29,08,29,,https://en.wikipedia.org/wiki/Tony_MacAlpine
birth,Rebecca De Mornay,American actress (born 1959),1959-08-29,08,29,,https://en.wikipedia.org/wiki/Rebecca_De_Mornay
birth,Eddi Reader,Scottish singer-songwriter,1959-08-29,08,29,,https://en.wikipedia.org/wiki/Eddi_Reader
birth,Nagarjuna (actor),Indian actor and film producer (born 1959),1959-08-29,08,29,,https://en.wikipedia.org/wiki/Nagarjuna_(actor)
birth,Lenny Henry,British comedian and actor (born 1958),1958-08-29,08,29,,https://en.wikipedia.org/wiki/Lenny_Henry
birth,Michael Jackson,American singer (1958–2009),1958-08-29,08,29,,https://en.wikipedia.org/wiki/Michael_Jackson
birth,Grzegorz Ciechowski,Musical artist,1957-08-29,08,29,,https://en.wikipedia.org/wiki/Grzegorz_Ciechowski
birth,Steve Yarbrough (writer),American author and academic,1956-08-29,08,29,,https://en.wikipedia.org/wiki/Steve_Yarbrough_(writer)
